"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"011-Birmingham AL","011-Birmingham AL","14-Metallic ores","1-Truck","0.7979","0.2515","0.0316","0.7647","0.241","0.0303","0.8657","0.8585","0.9136","0.2728","0.2706","0.288","0.0343"
"011-Birmingham AL","011-Birmingham AL","15-Coal","1-Truck","3889.6427","260.3397","116.9759","3443.3999","230.472","103.5557","2179.0815","2160.8311","2301.599","145.8492","144.6277","154.0495","65.533"
"011-Birmingham AL","019-Rest of AL","15-Coal","1-Truck","26.1426","2.9859","2.4495","23.1434","2.6434","2.1685","17.247","17.1045","18.2065","1.9699","1.9536","2.0795","1.616"
"011-Birmingham AL","131-Atlanta GA","14-Metallic ores","1-Truck","0.0103","0.0275","0.0017","0.0099","0.0263","0.0017","0.0082","0.0081","0.0087","0.0218","0.0216","0.0232","0.0014"
"011-Birmingham AL","280-Mississippi","15-Coal","1-Truck","0.0936","0.0194","0.0211","0.0828","0.0171","0.0186","0.0502","0.0488","0.0535","0.0104","0.0101","0.0111","0.0113"
"011-Birmingham AL","299-Rest of MO","14-Metallic ores","1-Truck","0.1964","0.1437","0.1043","0.1882","0.1377","0.1","0.2757","0.2734","0.2911","0.2017","0.2","0.213","0.1464"
"011-Birmingham AL","362-Buffalo NY  CFS Area","15-Coal","1-Truck","3.9323","0.9815","3.6004","3.4811","0.8689","3.1874","1.3859","1.372","1.4563","0.3459","0.3424","0.3635","1.269"
"011-Birmingham AL","392-Cleveland OH","14-Metallic ores","1-Truck","41.9985","232.2005","30.4683","40.2532","222.5513","29.2022","58.9747","58.4663","62.8343","326.0579","323.2471","347.3969","42.7838"
"011-Birmingham AL","399-Rest of OH","15-Coal","1-Truck","11.0572","1.0059","7.1869","9.7886","0.8905","6.3624","5.3702","5.3222","5.785","0.4885","0.4842","0.5263","3.4905"
"011-Birmingham AL","540-West Virginia","15-Coal","1-Truck","13.9614","2.0108","8.1941","12.3597","1.7801","7.2541","6.6946","6.5867","7.3261","0.9642","0.9486","1.0551","3.9291"
