facility_name,owner_name,is_facility,address,state,owner_state,classes
,Absentee Shawnee Tribe of Indians of OK,FALSE,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",OK,OK,Class II & III
Thunderbird Casino - Shawnee,Absentee Shawnee Tribe of Indians of OK,TRUE,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",OK,OK,Class II & III
Thunderbird Entertainment Center,Absentee Shawnee Tribe of Indians of OK,TRUE,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",OK,OK,Class II & III
,Agua Caliente Band of Cahuilla Indians,FALSE,"5401 Dinah Shore Dr., Palm Springs CA 92264",CA,CA,Class II & III
Agua Caliente Casino Rancho Mirage,Agua Caliente Band of Cahuilla Indians,TRUE,"5401 Dinah Shore Dr., Palm Springs CA 92264",CA,CA,Class II & III
Agua Caliente Fuel,Agua Caliente Band of Cahuilla Indians,TRUE,"5401 Dinah Shore Dr., Palm Springs CA 92264",CA,CA,Class II
Agua Caliente Casino Cathedral City,Agua Caliente Band of Cahuilla Indians,TRUE,"5401 Dinah Shore Dr., Palm Springs CA 92264",CA,CA,Class III
Agua Caliente Casino Palm Springs,Agua Caliente Band of Cahuilla Indians,TRUE,"5401 Dinah Shore Dr., Palm Springs CA 92264",CA,CA,Class III
,Ak-Chin Indian Communityof the Maricopa Indian Res,FALSE,"42507 W. Peters & Nall Rd., Maricopa AZ 85238",AZ,AZ,Class II & III
Harrah's Ak-Chin Casino Resort,Ak-Chin Indian Communityof the Maricopa Indian Res,TRUE,"42507 W. Peters & Nall Rd., Maricopa AZ 85238",AZ,AZ,Class II & III
,Alabama-Coushatta Tribe of Texas,FALSE,"571 State Park Road 56, Livingston TX 77351",TX,TX,Class II
Ischoopa Travel Center,Alabama-Coushatta Tribe of Texas,TRUE,"571 State Park Road 56, Livingston TX 77351",TX,TX,Class II
Naskila Gaming,Alabama-Coushatta Tribe of Texas,TRUE,"571 State Park Road 56, Livingston TX 77351",TX,TX,Class II
Naskila Gaming,Alabama-Coushatta Tribe of Texas,TRUE,"571 State Park Road 56, Livingston TX 77351",TX,TX,Class II
,"Alturas Indian Rancheria, California",FALSE,"PO Box 340 901 County Road 56, Alturas CA 96101",PO,PO,Class II & III
Desert Rose Casino,"Alturas Indian Rancheria, California",TRUE,"PO Box 340 901 County Road 56, Alturas CA 96101",PO,PO,Class III
,Apache Tribe of Oklahoma,FALSE,"P.O. Box 1330, Anadarko OK 73005",OK,OK,Class II & III
Golden Eagle Casino,Apache Tribe of Oklahoma,TRUE,"P.O. Box 1330, Anadarko OK 73005",OK,OK,Class II & III
Apache Lonestar Casino,Apache Tribe of Oklahoma,TRUE,"P.O. Box 1330, Anadarko OK 73005",OK,OK,Class II & III
,Assiniboine & Sioux Tribes of the Fort Peck Reservation,FALSE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class II & III
Fred's Grill and Casino fka B & S Laundry,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class III
Tavern Casino,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class III
Tribal Express Casino,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class III
T.J.'s Quick Stop,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class III
Silver Wolf Casino,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class II & III
Git-N-Go,Assiniboine & Sioux Tribes of the Fort Peck Reservation,TRUE,"P.O. Box 1027, Poplar MT 59255",MT,MT,Class III
,Augustine Band of Cahuilla Indians,FALSE,"P.O. Box 846 84481 Avenue 54, Coachella CA 92236",CA,CA,Class II & III
Augustine Casino,Augustine Band of Cahuilla Indians,TRUE,"P.O. Box 846 84481 Avenue 54, Coachella CA 92236",CA,CA,Class III
,Bad River Band of Lake Superior Tribe of Chippewa Indians,FALSE,"P.O. Box 39, Odanah WI 54861",WI,WI,Class II & III
Bad River Lodge & Casino,Bad River Band of Lake Superior Tribe of Chippewa Indians,TRUE,"P.O. Box 39, Odanah WI 54861",WI,WI,Class II & III
,Barona Group of Capitan Grande Band of Mission Indians,FALSE,"1095 Barona Road, Lakeside CA 92040",CA,CA,Class II & III
Barona Valley Ranch Resort and Casino,Barona Group of Capitan Grande Band of Mission Indians,TRUE,"1095 Barona Road, Lakeside CA 92040",CA,CA,Class II & III
,Bay Mills Indian Community,FALSE,"12140 W. Lakeshore Drive, Brimley MI 49715",MI,MI,Class II & III
Bay Mills Resort & Casino,Bay Mills Indian Community,TRUE,"12140 W. Lakeshore Drive, Brimley MI 49715",MI,MI,Class II & III
,Bear River Band of the Rohnerville Rancheria,FALSE,"266 Keisner Road, Loleta CA 95551",CA,CA,Class II & III
Bear River Casino Resort,Bear River Band of the Rohnerville Rancheria,TRUE,"266 Keisner Road, Loleta CA 95551",CA,CA,Class II & III
Bear River Pump and Play,Bear River Band of the Rohnerville Rancheria,TRUE,"266 Keisner Road, Loleta CA 95551",CA,CA,Class III
