0,1,2,3,is_facility
Absentee Shawnee Tribe of Indians of OK,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: Governor@astribe.com,FALSE
Absentee Shawnee Tribe of Indians of OK,Thunderbird Casino - Shawnee,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Absentee Shawnee Tribe of Indians of OK,Thunderbird Entertainment Center,"2025 S. Gordon Cooper Dr., Shawnee OK 74801",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Agua Caliente Band of Cahuilla Indians,"5401 Dinah Shore Dr., Palm Springs CA 92264",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: laviles@aguacaliente.net,FALSE
Agua Caliente Band of Cahuilla Indians,Agua Caliente Casino Rancho Mirage,"5401 Dinah Shore Dr., Palm Springs CA 92264",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Agua Caliente Band of Cahuilla Indians,Agua Caliente Fuel,"5401 Dinah Shore Dr., Palm Springs CA 92264",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Agua Caliente Band of Cahuilla Indians,Agua Caliente Casino Cathedral City,"5401 Dinah Shore Dr., Palm Springs CA 92264",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Agua Caliente Band of Cahuilla Indians,Agua Caliente Casino Palm Springs,"5401 Dinah Shore Dr., Palm Springs CA 92264",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Ak-Chin Indian Communityof the Maricopa Indian Res,"42507 W. Peters & Nall Rd., Maricopa AZ 85238",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: ahernandez@akchin-tga.nsn.us,FALSE
Ak-Chin Indian Communityof the Maricopa Indian Res,Harrah's Ak-Chin Casino Resort,"42507 W. Peters & Nall Rd., Maricopa AZ 85238",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Alabama-Coushatta Tribe of Texas,"571 State Park Road 56, Livingston TX 77351",Class Type: Class II   See 25 CFR 502.3 & 4,Email Address: cecilia.flores@actribe.org,FALSE
Alabama-Coushatta Tribe of Texas,Ischoopa Travel Center,"571 State Park Road 56, Livingston TX 77351",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Alabama-Coushatta Tribe of Texas,Naskila Gaming,"571 State Park Road 56, Livingston TX 77351",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Alabama-Coushatta Tribe of Texas,Naskila Gaming,"571 State Park Road 56, Livingston TX 77351",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
"Alturas Indian Rancheria, California","PO Box 340 901 County Road 56, Alturas CA 96101",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: air530@yahoo.com,FALSE
"Alturas Indian Rancheria, California",Desert Rose Casino,"PO Box 340 901 County Road 56, Alturas CA 96101",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Apache Tribe of Oklahoma,"P.O. Box 1330, Anadarko OK 73005",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: durellcooper05@gmail.com,FALSE
Apache Tribe of Oklahoma,Golden Eagle Casino,"P.O. Box 1330, Anadarko OK 73005",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Apache Tribe of Oklahoma,Apache Lonestar Casino,"P.O. Box 1330, Anadarko OK 73005",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,"P.O. Box 1027, Poplar MT 59255",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: justin.grayhawk@fortpecktribes.net,FALSE
