owner_name,geoname_mostrecent
Absentee Shawnee Tribe of Indians of OK,Citizen Potawatomi Nation-Absentee Shawnee OTSA
Agua Caliente Band of Cahuilla Indians,Agua Caliente Indian Reservation and Off-Reservation Trust Land
Ak-Chin Indian Communityof the Maricopa Indian Res,Prairie Island Indian Community and Off-Reservation Trust Land
Alabama-Coushatta Tribe of Texas,Alabama-Coushatta Reservation and Off-Reservation Trust Land
"Alturas Indian Rancheria, California",Alturas Indian Rancheria
Apache Tribe of Oklahoma,Cherokee Tribe of Northeast Alabama SDTSA
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Southern Ute Reservation
Augustine Band of Cahuilla Indians,Aroostook Band of Micmac Trust Land
Bad River Band of Lake Superior Tribe of Chippewa Indians,
Barona Group of Capitan Grande Band of Mission Indians,Capitan Grande Reservation
Bay Mills Indian Community,Las Vegas Indian Colony
Bear River Band of the Rohnerville Rancheria,Greenville Rancheria
Berry Creek Rancheria of Maidu Indians of California,Berry Creek Rancheria and Off-Reservation Trust Land
Big Sandy Band of Western Mono Indians,Big Sandy Rancheria and Off-Reservation Trust Land
Big Valley Band of Pomo Indians,Big Valley Rancheria
Bishop Paiute Tribe,Bishop Reservation
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,La Posta Indian Reservation
Blue Lake Rancheria,Upper Lake Rancheria
"Bois Forte Band of Minnesota Chippewa Tribe, Minnesota",Minnesota Chippewa Trust Land
Buena Vista Rancheria of Me-Wuk Indians,Santa Rosa Rancheria
Cabazon Band of Mission Indians,Ione Band of Miwok TDSA
Cachil Dehe Band of Wintun Indians of the Colusa Indian Community,
Cahuilla Band of Mission Indians of the Cahuilla Reservation,Jena Band of Choctaw Reservation
Campo Band of Diegueno Mission of the Campo Indian Reservation,La Posta Indian Reservation
Catawba Indian Nation,Kaibab Indian Reservation
Cayuga Nation,Cayuga Nation TDSA
Chemehuevi Indian Tribe of the Chemehuevi Nation,Chemehuevi Reservation
Cher-Ae Heights Indian Community of the Trinidad Rancheria,Lower Sioux Indian Community and Off-Reservation Trust Land
"Cherokee Nation, Oklahoma",Eastern Cherokee Reservation
"Cheyenne and Arapaho Tribes, Oklahoma",Cheyenne and Arapaho OTSA
"Chickasaw Nation, Oklahoma",Chickasaw OTSA
Chicken Ranch Rancheria of Me-wuk Indians of California,Chicken Ranch Rancheria and Off-Reservation Trust Land
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Reno-Sparks Indian Colony and Off-Reservation Trust Land
Choctaw Nation of Oklahoma,Choctaw OTSA
"Citizen Potawatomi Nation, Oklahoma",Citizen Potawatomi Nation-Absentee Shawnee OTSA
Cocopah Tribe of Arizona,Cocopah Reservation
Coeur d'Alene Tribe,Coeur d'Alene Reservation
"Colorado River Indian Tribes of the Colorado River Indian Reservation, AZ and CA",Colorado River Indian Reservation
"Comanche Nation, Oklahoma",Yavapai-Apache Nation Reservation
Confederated Salish and Kootenai Tribes of the Flathead Reservation,Jena Band of Choctaw Reservation
"Confederated Tribes and Bands of the Yakama Nation, Washington",Prairie Band of Potawatomi Nation Reservation
"Confederated Tribes of Coos, Lower Umpqua & Siuslaw Indians of Oregon",
Confederated Tribes of Siletz Indians of Oregon,Colorado River Indian Reservation
